year,fall,cluster
1975.9999999999998,Fell,2
1974.0,Fell,2
2001.0,Fell,2
2002.0,Fell,2
2008.0,Fell,2
1971.0,Fell,2
1983.9999999999998,Fell,2
2012.0,Fell,2
1989.0,Fell,2
2008.0,Fell,2
2004.0,Fell,2
2002.0,Fell,2
1983.9999999999998,Fell,2
2003.0000000000002,Fell,2
2010.9999999999998,Fell,2
2006.9999999999998,Fell,2
1990.0,Fell,2
2006.9999999999998,Fell,2
1973.0,Fell,2
2006.9999999999998,Fell,2
1988.0,Fell,2
1998.0,Fell,2
1977.0,Fell,2
1988.0,Fell,2
1981.0,Fell,2
1988.0,Fell,2
1978.0,Fell,2
1979.0,Fell,2
1983.9999999999998,Fell,2
1994.0,Fell,2
1994.0,Fell,2
2006.9999999999998,Fell,2
1975.9999999999998,Fell,2
1999.0000000000002,Fell,2
1970.0,Fell,2
1998.0,Fell,2
1977.0,Fell,2
1983.9999999999998,Fell,2
1990.0,Fell,2
1991.0000000000002,Fell,2
1974.0,Fell,2
1975.9999999999998,Fell,2
2009.0,Fell,2
1996.0,Fell,2
1979.9999999999998,Fell,2
1971.9999999999998,Fell,2
1982.0,Fell,2
1971.0,Fell,2
2003.0000000000002,Fell,2
2003.0000000000002,Fell,2
2010.0,Fell,2
1977.0,Fell,2
1977.0,Fell,2
2009.0,Fell,2
2006.0,Fell,2
1974.0,Fell,2
1975.9999999999998,Fell,2
1979.9999999999998,Fell,2
2004.0,Fell,2
1999.0000000000002,Fell,2
1970.0,Fell,2
1998.0,Fell,2
1999.0000000000002,Fell,2
2010.0,Fell,2
1977.0,Fell,2
1986.0,Fell,2
1999.0000000000002,Fell,2
1973.0,Fell,2
1978.0,Fell,2
2010.0,Fell,2
1977.0,Fell,2
1979.9999999999998,Fell,2
1990.0,Fell,2
1970.0,Fell,2
2009.0,Fell,2
1971.0,Fell,2
1983.0,Fell,2
2010.0,Fell,2
1979.9999999999998,Fell,2
2010.0,Fell,2
1998.0,Fell,2
2000.0,Fell,2
2006.0,Fell,2
1983.9999999999998,Fell,2
1974.0,Fell,2
1995.0000000000002,Fell,2
1970.0,Fell,2
1991.0000000000002,Fell,2
1971.0,Fell,2
2004.0,Fell,2
2003.0000000000002,Fell,2
1986.0,Fell,2
1988.0,Fell,2
1995.0000000000002,Fell,2
2006.9999999999998,Fell,2
1982.0,Fell,2
1975.9999999999998,Fell,2
2006.9999999999998,Fell,2
1979.9999999999998,Fell,2
1975.9999999999998,Fell,2
1999.0000000000002,Fell,2
1981.0,Fell,2
1985.0,Fell,2
1973.0,Fell,2
2002.0,Fell,2
2008.0,Fell,2
1986.0,Fell,2
1993.0,Fell,2
1975.9999999999998,Fell,2
1971.0,Fell,2
1995.0000000000002,Fell,2
1989.0,Fell,2
2010.9999999999998,Fell,2
1974.0,Fell,2
2012.0,Fell,2
1991.0000000000002,Fell,2
1986.0,Fell,2
1970.0,Fell,2
1983.9999999999998,Fell,2
1988.0,Fell,2
1988.0,Fell,2
1996.0,Fell,2
1996.0,Fell,2
1970.0,Fell,2
1989.0,Fell,2
1986.0,Fell,2
2010.0,Fell,2
2004.0,Fell,2
1997.0,Fell,2
2006.0,Fell,2
1971.0,Fell,2
1982.0,Fell,2
2009.0,Fell,2
1997.0,Fell,2
1990.0,Fell,2
1975.9999999999998,Fell,2
1982.0,Found,1
2008.0,Found,0
1997.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1989.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
